id,title,price,currency,mileage,year,make,gearbox,engine,drive,fuel,color,origin,images,description
car048,2023 Land Rover Defender HSE P400 - Grey,75000.00,JOD,16000,2023,Land Rover,Automatic,3000 cc petrol,-,Petrol,Grey,-,,SUV Land Rover Land Rover Defender HSE P400 in Grey (3000 cc petrol)
car049,2024 Land Rover Defender HSE P400e - IBN Silver,78000.00,JOD,0,2024,Land Rover,Automatic,2000 cc plug-in hybrid,-,Plug-in hybrid,IBN Silver,-,,SUV Land Rover Land Rover Defender HSE P400e in IBN Silver (2000 cc plug-in hybrid)
car050,2023 Land Rover Defender SE P - Unknown,72000.00,JOD,0,2023,Land Rover,Automatic,2000 cc petrol,-,Petrol,Unknown,-,,SUV Land Rover Land Rover Defender SE P in Unknown (2000 cc petrol)
car051,2021 Land Rover Defender HSE P300 - Black,65000.00,JOD,30000,2021,Land Rover,Automatic,2000 cc petrol,-,Petrol,Black,-,,SUV Land Rover Land Rover Defender HSE P300 in Black (2000 cc petrol)
car052,2022 Lexus LX600 - Champagne,95000.00,JOD,0,2022,Lexus,Automatic,3500 cc petrol,-,Petrol,Champagne,-,,SUV Lexus Lexus LX600 in Champagne (3500 cc petrol)
car053,2021 Lexus LS 500h - Black,65000.00,JOD,0,2021,Lexus,Automatic,3500 cc hybrid,-,Hybrid,Black,-,,Sedan Lexus Lexus LS 500h in Black (3500 cc hybrid)
car054,2012 Lexus LFA - Pearl Grey,600000.00,JOD,0,2012,Lexus,Automatic,4800 cc petrol,-,Petrol,Pearl Grey,-,,Sedan Lexus Lexus LFA in Pearl Grey (4800 cc petrol)
car055,2022 Maserati Ghibli - Blue Metallic,50000.00,JOD,0,2022,Maserati,Automatic,2000 cc petrol,-,Petrol,Blue Metallic,-,,Sedan Maserati Maserati Ghibli in Blue Metallic (2000 cc petrol)
car056,2015 Maserati Quattroporte - Unknown,40000.00,JOD,23000,2015,Maserati,Automatic,Petrol engine,-,Petrol,Unknown,-,,Sedan Maserati Maserati Quattroporte in Unknown (Petrol engine)
car057,2021 Mercedes-Benz S 450 - Pearl White,90000.00,JOD,0,2021,Mercedes-Benz,Automatic,3000 cc hybrid,-,Hybrid,Pearl White,-,,Sedan Mercedes-Benz Mercedes in Pearl White (3000 cc hybrid)
car058,2025 Mercedes-Benz E 200 - Black,55000.00,JOD,0,2025,Mercedes-Benz,Automatic,2000 cc mild hybrid,-,Mild hybrid petrol,Black,-,,Sedan Mercedes-Benz Mercedes in Black (2000 cc mild hybrid)
car059,2023 Mercedes-AMG SL 43 - Black,110000.00,JOD,0,2023,Mercedes-Benz,Automatic,2000 cc petrol,-,Petrol,Black,-,,Sport Mercedes-Benz Mercedes in Black (2000 cc petrol)
car060,2019 Mercedes-Benz G 63 AMG - White,200000.00,JOD,0,2019,Mercedes-Benz,Automatic,4000 cc petrol,-,Petrol,White,-,,SUV Mercedes-Benz Mercedes in White (4000 cc petrol)
car061,2020 Mercedes-Benz GLE 450 - Pearly White,75000.00,JOD,0,2020,Mercedes-Benz,Automatic,3000 cc petrol,-,Petrol,Pearly White,-,,SUV Mercedes-Benz Mercedes in Pearly White (3000 cc petrol)
car062,2020 Mercedes-Benz G 63 AMG - Black,210000.00,JOD,0,2020,Mercedes-Benz,Automatic,4000 cc petrol,-,Petrol,Black,-,,SUV Mercedes-Benz Mercedes in Black (4000 cc petrol)
car063,2021 Mercedes-Benz G 500 AMG Kit 63 - Olive Green,190000.00,JOD,0,2021,Mercedes-Benz,Automatic,4000 cc petrol,-,Petrol,Olive Green,-,,Sedan Mercedes-Benz Mercedes in Olive Green (4000 cc petrol)
car064,2023 Mercedes-Benz G 63 AMG 4x4 Squared - Nardo Grey,280000.00,JOD,0,2023,Mercedes-Benz,Automatic,4000 cc petrol,-,Petrol,Nardo Grey,-,,SUV Mercedes-Benz Mercedes in Nardo Grey (4000 cc petrol)
car065,2023 Mercedes-Benz GLE 450 - Black,85000.00,JOD,9000,2023,Mercedes-Benz,Automatic,3000 cc petrol,-,Petrol,Black,-,,SUV Mercedes-Benz Mercedes in Black (3000 cc petrol)
car066,2018 Mercedes-Benz E 350 Plug-in - Navy Blue,35000.00,JOD,5000,2018,Mercedes-Benz,Automatic,2000 cc plug-in hybrid,-,Plug-in hybrid,Navy Blue,-,,Sedan Mercedes-Benz Mercedes in Navy Blue (2000 cc plug-in hybrid)
car067,2024 Mercedes-Benz G 800 Brabus - Black,320000.00,JOD,0,2024,Mercedes-Benz,Automatic,4000 cc petrol,-,Petrol,Black,-,,Sedan Mercedes-Benz Mercedes in Black (4000 cc petrol)
car068,2019 Mercedes-Benz CLS - Brown,40000.00,JOD,4000,2019,Mercedes-Benz,Automatic,2000 cc petrol,-,Petrol,Brown,-,,Sport Mercedes-Benz Mercedes in Brown (2000 cc petrol)
car069,2021 Mercedes-Benz E 200 Coupe - Black,45000.00,JOD,0,2021,Mercedes-Benz,Automatic,2000 cc petrol,-,Petrol,Black,-,,Sport Mercedes-Benz Mercedes in Black (2000 cc petrol)
car070,2021 Mercedes-AMG GLE 53 4MATIC+ - Black,95000.00,JOD,0,2021,Mercedes-Benz,Automatic,3000 cc mild hybrid,-,Mild hybrid petrol,Black,-,,SUV Mercedes-Benz Mercedes in Black (3000 cc mild hybrid)
car071,2024 Mercedes-Benz CLE 200 - Black,55000.00,JOD,0,2024,Mercedes-Benz,Automatic,2000 cc petrol,-,Petrol,Black,-,,Sedan Mercedes-Benz Mercedes in Black (2000 cc petrol)
car072,2024 Mercedes-AMG C 63 S - Selenite Magno Grey,95000.00,JOD,15000,2024,Mercedes-Benz,Automatic,2000 cc turbo,-,Petrol,Selenite Magno Grey,-,,Sedan Mercedes-Benz Mercedes in Selenite Magno Grey (2000 cc turbo)
car073,2023 Mercedes-AMG CLA 45 S - Grey,80000.00,JOD,28000,2023,Mercedes-Benz,Automatic,2000 cc turbo,-,Petrol,Grey,-,,Sedan Mercedes-Benz Mercedes in Grey (2000 cc turbo)
car074,2022 Mercedes-Maybach GLS 600 - Black,200000.00,JOD,0,2022,Mercedes-Benz,Automatic,4000 cc petrol,-,Petrol,Black,-,,SUV Mercedes-Benz Mercedes in Black (4000 cc petrol)
car075,2021 Mercedes-Benz GLS 450 - Pearl White,100000.00,JOD,0,2021,Mercedes-Benz,Automatic,3000 cc petrol,-,Petrol,Pearl White,-,,SUV Mercedes-Benz Mercedes in Pearl White (3000 cc petrol)
car076,2022 Mercedes-Benz CLS - Grey Metallic,50000.00,JOD,17000,2022,Mercedes-Benz,Automatic,2000 cc petrol,-,Petrol,Grey Metallic,-,,Sport Mercedes-Benz Mercedes in Grey Metallic (2000 cc petrol)
car077,2023 Mercedes-AMG SL 43 Hybrid - Spectral Blue Magno,120000.00,JOD,0,2023,Mercedes-Benz,Automatic,Hybrid powertrain,-,Hybrid,MANUFAKTUR Spectral Blue Magno,-,,Sport Mercedes-Benz Mercedes in MANUFAKTUR Spectral Blue Magno (Hybrid powertrain)
car078,2024 Mercedes-Benz CLE 200 - Black (Mild Hybrid),56000.00,JOD,4000,2024,Mercedes-Benz,Automatic,2000 cc mild hybrid,-,Mild hybrid petrol,Black,-,,Sedan Mercedes-Benz Mercedes in Black (2000 cc mild hybrid)
car079,2021 Mercedes-Benz E 200 - Graphite Grey Magno,42000.00,JOD,38000,2021,Mercedes-Benz,Automatic,2000 cc mild hybrid,-,Mild hybrid petrol,MANUFAKTUR Graphite Grey Magno,-,,Sedan Mercedes-Benz Mercedes in MANUFAKTUR Graphite Grey Magno (2000 cc mild hybrid)
car080,2021 Mercedes-Benz G 63 AMG - Black,220000.00,JOD,27000,2021,Mercedes-Benz,Automatic,4000 cc petrol,-,Petrol,Black,-,,SUV Mercedes-Benz Mercedes in Black (4000 cc petrol)
car081,2025 Mercedes-AMG GT 43 - Black,125000.00,JOD,0,2025,Mercedes-Benz,Automatic,2000 cc petrol,-,Petrol,Black,-,,Sport Mercedes-Benz Mercedes in Black (2000 cc petrol)
car082,2025 Mercedes-Benz GLC 200 - Black,65000.00,JOD,0,2025,Mercedes-Benz,Automatic,2000 cc petrol,-,Petrol,Black,-,,Sedan Mercedes-Benz Mercedes in Black (2000 cc petrol)
car083,2016 Nissan Patrol Nismo - Unknown,55000.00,JOD,28000,2016,Nissan,Automatic,5600 cc petrol V8,-,Petrol,Unknown,-,,SUV Nissan Nissan Patrol Nismo in Unknown (5600 cc petrol V8)
car084,2017 Porsche 911 Carrera 4S - Black,70000.00,JOD,0,2017,Porsche,Automatic,Petrol engine,-,Petrol,Black,-,,Sport Porsche Porsche 911 Carrera 4S in Black (Petrol engine)
car085,2017 Porsche Macan - Unknown,35000.00,JOD,45000,2017,Porsche,Automatic,2000 cc petrol,-,Petrol,Unknown,-,,SUV Porsche Porsche Macan in Unknown (2000 cc petrol)
car086,2024 Porsche Macan T - Carmine Red,55000.00,JOD,0,2024,Porsche,Automatic,Petrol engine,-,Petrol,Carmine Red,-,,SUV Porsche Porsche Macan T in Carmine Red (Petrol engine)
car087,2021 Porsche Taycan - Volcano Grey Metallic,70000.00,JOD,0,2021,Porsche,Automatic,Full electric,-,Electric,Volcano Grey Metallic,-,,Sport Porsche Porsche Taycan in Volcano Grey Metallic (Full electric)
car088,2021 Porsche Taycan Turbo - Grey,90000.00,JOD,11000,2021,Porsche,Automatic,Full electric,-,Electric,Grey,-,,Sport Porsche Porsche Taycan Turbo in Grey (Full electric)
car089,2021 Porsche Cayenne E-Hybrid Coupé - White,65000.00,JOD,0,2021,Porsche,Automatic,Plug-in hybrid,-,Plug-in hybrid,White,-,,SUV Porsche Porsche Cayenne E in White (Plug-in hybrid)
car090,2020 Range Rover Vogue Autobiography P400e - Navy Blue,60000.00,JOD,0,2020,Range Rover,Automatic,2000 cc plug-in hybrid,-,Plug-in hybrid,Navy Blue,-,,SUV Range Rover Range Rover Vogue Autobiography P400e in Navy Blue (2000 cc plug-in hybrid)
car091,2024 Range Rover Vogue HSE - Constellation Blue,88000.00,JOD,2000,2024,Range Rover,Automatic,3000 cc mild hybrid,-,Mild hybrid petrol,Constellation Blue,-,,SUV Range Rover Range Rover Vogue HSE in Constellation Blue (3000 cc mild hybrid)
car092,2024 Range Rover Vogue HSE - Tourmaline Brown,88000.00,JOD,0,2024,Range Rover,Automatic,3000 cc mild hybrid,-,Mild hybrid petrol,Tourmaline Brown,-,,SUV Range Rover Range Rover Vogue HSE in Tourmaline Brown (3000 cc mild hybrid)
car093,2025 Range Rover Vogue HSE - Gold,95000.00,JOD,0,2025,Range Rover,Automatic,3000 cc mild hybrid,-,Mild hybrid petrol,Gold,-,,SUV Range Rover Range Rover Vogue HSE in Gold (3000 cc mild hybrid)
car094,2025 Range Rover Vogue HSE - Black,95000.00,JOD,0,2025,Range Rover,Automatic,3000 cc mild hybrid,-,Mild hybrid petrol,Black,-,,SUV Range Rover Range Rover Vogue HSE in Black (3000 cc mild hybrid)
car095,2025 Range Rover Vogue - Grey,95000.00,JOD,3000,2025,Range Rover,Automatic,3000 cc petrol,-,Petrol,Grey,-,,SUV Range Rover Range Rover Vogue in Grey (3000 cc petrol)
car096,2016 Range Rover Vogue Autobiography - Black,45000.00,JOD,0,2016,Range Rover,Automatic,5000 cc petrol,-,Petrol,Black,-,,SUV Range Rover Range Rover Vogue Autobiography in Black (5000 cc petrol)
car097,2015 Range Rover Vogue Autobiography - Black,40000.00,JOD,0,2015,Range Rover,Automatic,5000 cc petrol,-,Petrol,Black,-,,SUV Range Rover Range Rover Vogue Autobiography in Black (5000 cc petrol)
car098,2023 Range Rover Vogue Autobiography - White,80000.00,JOD,0,2023,Range Rover,Automatic,3000 cc petrol,-,Petrol,White,-,,SUV Range Rover Range Rover Vogue Autobiography in White (3000 cc petrol)
car099,2024 Range Rover Autobiography - Grey,90000.00,JOD,0,2024,Range Rover,Automatic,3000 cc petrol,-,Petrol,Grey,-,,SUV Range Rover Range Rover Autobiography in Grey (3000 cc petrol)
car100,2021 Range Rover SVR - Grey Metallic,90000.00,JOD,0,2021,Range Rover,Automatic,5000 cc petrol,-,Petrol,Grey Metallic,-,,SUV Range Rover Range Rover SVR in Grey Metallic (5000 cc petrol)
car101,2024 Range Rover Evoque Plug-in - Tropical Blue,45000.00,JOD,0,2024,Range Rover,Automatic,1500 cc plug-in hybrid,-,Plug-in hybrid,Tropical Blue,-,,SUV Range Rover Range Rover Evoque Plug in Tropical Blue (1500 cc plug-in hybrid)
car102,2024 Range Rover Evoque Plug-in - Carpathian Grey,45000.00,JOD,0,2024,Range Rover,Automatic,1500 cc plug-in hybrid,-,Plug-in hybrid,Carpathian Grey,-,,SUV Range Rover Range Rover Evoque Plug in Carpathian Grey (1500 cc plug-in hybrid)
car103,2022 Range Rover Sport P400e - Grey,70000.00,JOD,0,2022,Range Rover,Automatic,2000 cc plug-in hybrid,-,Plug-in hybrid,Grey,-,,SUV Range Rover Range Rover Sport P400e in Grey (2000 cc plug-in hybrid)
car104,2019 Range Rover Sport - Grey,55000.00,JOD,47000,2019,Range Rover,Automatic,3000 cc petrol,-,Petrol,Grey,-,,SUV Range Rover Range Rover Sport in Grey (3000 cc petrol)
car105,2024 Tesla Model Y - Grey,26000.00,JOD,0,2024,Tesla,Automatic,Full electric,-,Electric,Grey,-,,Sedan Tesla Tesla Model Y in Grey (Full electric)
car106,2018 Tesla Model X 75D - Black,35000.00,JOD,28000,2018,Tesla,Automatic,Full electric,-,Electric,Black,-,,Sedan Tesla Tesla Model X 75D in Black (Full electric)
car107,2024 Toyota Land Cruiser GXR V6 - Black,90000.00,JOD,0,2024,Toyota,Automatic,3500 cc twin turbo,-,Petrol,Black,-,,SUV Toyota Toyota Land Cruiser GXR V6 in Black (3500 cc twin turbo)
car108,2022 Toyota Land Cruiser VX V6 - Pearl White,70000.00,JOD,47000,2022,Toyota,Automatic,3500 cc twin turbo,-,Petrol,Pearl White,-,,SUV Toyota Toyota Land Cruiser VX V6 in Pearl White (3500 cc twin turbo)
car109,2022 Toyota Land Cruiser GXR V6 - Champagne,68000.00,JOD,0,2022,Toyota,Automatic,4000 cc petrol,-,Petrol,Champagne,-,,SUV Toyota Toyota Land Cruiser GXR V6 in Champagne (4000 cc petrol)
car110,2025 Toyota Land Cruiser GXR V6 - Black (1700 km),92000.00,JOD,1700,2025,Toyota,Automatic,4000 cc petrol,-,Petrol,Black,-,,SUV Toyota Toyota Land Cruiser GXR V6 in Black (4000 cc petrol)
car111,2025 Toyota Land Cruiser GXR V6 - Black (Zero km),93000.00,JOD,0,2025,Toyota,Automatic,4000 cc petrol,-,Petrol,Black,-,,SUV Toyota Toyota Land Cruiser GXR V6 in Black (4000 cc petrol)
